Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,approved,Gender
383,221,863,653,171,567,216,872,291,537,304,459,441,722,58,13,207,572,163,888,491,812,362,100,7,341,741,738,236,1227,0,Group A
941,573,179,951,111,757,180,623,192,639,631,324,840,824,78,769,562,199,936,873,555,717,896,84,585,623,470,927,813,1498,0,Group A
69,930,627,400,29,298,742,463,917,789,29,232,168,794,715,236,911,432,139,379,194,491,903,185,430,710,559,893,420,7014,0,Group A
746,563,439,99,122,747,147,251,836,130,940,793,103,510,894,879,926,273,498,798,472,456,776,202,421,693,428,793,330,8061,0,Group A
287,893,584,106,69,416,304,497,545,78,170,854,439,690,312,684,936,808,363,628,645,952,824,872,457,239,630,520,242,7406,0,Group A
109,480,782,643,216,143,90,688,111,152,665,71,367,563,846,418,428,340,606,579,818,956,501,125,368,713,355,229,108,1223,0,Group B
135,233,966,75,91,454,801,320,153,592,849,70,805,82,697,938,753,859,799,240,904,937,284,616,28,568,276,125,155,4947,0,Group B
953,762,642,289,514,826,543,98,187,587,727,5,672,339,242,251,355,422,872,333,925,691,955,304,553,757,864,298,43,400,0,Group A
230,427,866,727,192,452,896,499,87,410,678,86,187,63,731,18,492,726,294,6,656,773,562,763,61,128,834,790,899,2874,0,Group B
256,838,272,801,386,128,213,799,129,682,174,448,705,928,914,31,332,38,854,271,110,241,347,805,435,937,96,287,461,2386,0,Group B
738,884,469,391,268,299,933,883,482,691,536,616,224,257,354,278,279,949,287,35,919,587,900,333,237,745,840,815,323,4890,0,Group A
488,796,486,890,134,795,531,773,460,855,518,161,109,21,182,484,459,86,249,584,819,868,11,275,413,236,920,540,918,9785,1,Group A
247,582,158,443,964,897,595,286,500,954,542,523,271,363,285,876,314,818,930,70,805,840,30,921,828,543,194,344,705,4100,1,Group A
932,48,289,169,609,655,266,801,492,814,224,464,234,944,969,7,685,367,670,220,221,770,536,957,360,900,274,406,498,3588,0,Group B
305,258,263,140,307,272,943,36,621,540,219,442,863,349,144,386,842,969,577,138,96,82,402,802,135,316,74,21,648,5063,0,Group B
389,272,525,940,669,493,345,415,588,908,360,756,185,312,334,908,374,848,648,24,756,137,530,816,445,564,811,818,400,9941,0,Group A
584,403,810,709,333,625,383,186,33,525,125,713,45,170,214,50,73,553,569,40,410,166,269,262,786,654,84,402,380,8830,0,Group B
65,396,274,571,837,357,370,669,922,678,194,422,435,656,123,33,677,254,518,863,519,830,860,425,801,76,72,886,339,5303,0,Group A
636,405,147,918,836,871,458,93,945,403,891,797,938,511,92,911,890,225,295,250,568,455,237,486,88,540,112,425,411,1125,0,Group A
708,181,483,426,319,289,528,616,694,111,749,466,124,832,761,283,327,851,643,940,867,164,716,279,951,144,810,607,62,8605,1,Group B
763,707,670,748,246,373,932,833,12,721,501,904,403,426,437,784,313,754,308,960,274,394,47,522,107,413,749,770,27,6645,0,Group A
7,84,203,344,158,41,117,786,452,138,883,954,566,562,951,764,584,629,283,321,709,719,923,589,523,52,823,127,49,3212,0,Group A
98,623,632,88,423,119,855,472,900,559,62,24,717,514,314,28,391,70,53,290,906,632,818,388,593,296,853,258,545,4528,0,Group B
588,798,905,494,242,443,185,665,577,642,419,219,712,204,664,268,13,796,825,897,540,159,446,534,945,61,528,434,269,9612,0,Group B
393,714,924,789,248,243,113,532,411,790,354,305,559,875,81,667,691,391,890,875,28,209,22,892,542,466,825,381,396,8828,0,Group B
161,183,603,32,323,930,404,162,730,741,191,547,21,648,822,424,335,67,179,463,380,91,527,542,723,251,690,94,914,38,1,Group A
115,441,679,357,866,803,115,719,640,237,424,905,254,459,632,747,670,401,568,34,105,475,328,702,530,120,131,657,494,6933,0,Group A
494,359,212,553,51,105,864,239,155,771,578,154,382,891,752,133,126,437,496,964,56,799,637,944,306,141,403,39,199,2344,0,Group B
107,30,52,240,59,732,479,21,259,712,231,518,692,854,451,280,770,548,372,932,139,688,565,407,519,627,90,89,627,3450,0,Group B
106,296,470,632,413,114,557,920,928,813,345,215,548,313,13,330,687,866,274,954,789,426,663,457,454,315,152,656,451,2181,0,Group A
547,114,553,294,343,308,929,477,190,51,259,129,698,494,333,777,829,972,958,765,116,917,139,5,51,489,78,296,886,2751,0,Group A
367,438,123,565,527,107,838,14,311,5,641,183,338,119,63,455,499,271,365,706,945,167,886,340,559,617,160,31,961,5287,0,Group A
642,702,921,745,112,937,161,637,574,28,131,849,215,301,760,703,866,643,905,88,527,28,767,430,229,936,38,705,6,2863,0,Group B
363,93,100,30,82,829,799,634,21,860,118,670,158,462,137,408,253,671,516,738,498,822,460,885,655,773,405,666,560,1379,0,Group A
589,496,758,831,252,575,841,252,646,385,856,402,458,310,431,411,812,706,852,222,626,904,545,724,64,358,779,83,509,4704,1,Group B
339,336,637,69,698,3,739,271,57,880,324,649,896,600,889,949,77,301,49,779,558,366,17,797,577,888,921,795,47,7701,0,Group B
251,174,715,765,129,120,614,384,67,676,171,22,577,348,119,850,937,607,149,810,736,370,223,729,288,711,610,26,645,6423,0,Group B
95,726,471,636,420,133,744,891,23,377,743,541,71,946,550,343,717,779,333,678,169,389,656,103,323,148,64,910,946,408,1,Group A
693,442,243,787,365,918,880,449,780,176,106,172,637,518,834,909,591,817,884,195,111,731,622,297,626,41,430,560,372,2456,1,Group B
81,756,913,55,716,572,4,222,534,120,349,816,389,223,753,434,683,772,635,507,33,231,370,34,54,459,348,180,559,6853,0,Group A
382,781,322,203,160,465,193,458,373,670,53,593,507,343,953,4,510,675,378,645,640,493,370,27,569,151,445,948,554,2603,0,Group B
723,759,430,480,542,89,328,694,684,460,852,951,846,266,821,460,468,558,65,218,451,299,597,332,484,533,475,186,911,2400,0,Group B
913,811,26,482,744,504,705,407,667,430,264,132,957,287,288,538,16,646,483,654,336,503,56,133,771,848,880,460,800,2263,0,Group A
138,421,897,573,562,500,138,285,328,180,100,482,582,255,253,774,625,704,392,136,213,616,236,512,776,962,251,782,562,3232,0,Group B
604,188,636,898,174,370,257,100,85,41,482,681,904,247,849,584,530,819,367,309,23,129,109,736,275,608,963,393,192,773,0,Group B
197,579,720,153,389,24,715,99,882,372,685,453,756,841,473,603,728,786,185,364,494,517,379,156,779,917,19,454,939,9661,0,Group A
227,784,501,83,236,847,681,246,713,481,441,100,94,304,478,154,748,765,846,642,311,631,714,188,648,191,887,359,144,8510,0,Group B
883,246,634,658,543,269,165,20,457,391,766,778,247,450,768,630,644,663,629,592,144,469,930,751,208,822,404,473,351,5911,0,Group B
298,86,385,640,186,746,556,8,568,635,613,177,411,292,219,148,103,612,63,478,389,627,180,81,381,616,126,756,475,3072,0,Group B
855,947,491,46,98,363,797,664,326,707,400,126,354,128,675,422,223,26,647,138,435,288,505,142,632,788,737,747,389,8641,0,Group A
749,530,527,514,964,857,570,269,6,426,33,739,462,134,402,652,624,545,545,904,401,182,55,800,532,142,315,85,907,7681,0,Group B
315,292,388,610,484,257,40,90,630,569,729,722,930,76,226,425,623,762,685,264,260,29,287,466,550,948,329,891,597,8977,0,Group B
231,0,343,444,939,508,823,383,390,226,203,139,880,567,659,825,416,771,724,90,949,551,572,39,727,938,554,55,458,4856,1,Group B
585,550,523,209,672,642,327,276,387,464,744,654,220,373,200,447,702,317,723,909,161,224,341,620,86,841,965,486,259,6810,0,Group B
80,444,202,412,465,103,143,701,756,668,708,428,494,855,35,62,437,961,31,402,229,53,665,561,595,758,804,335,552,9149,0,Group A
99,882,131,645,849,475,283,259,499,893,837,785,388,499,518,521,800,241,452,649,291,90,948,686,156,956,352,572,678,8982,1,Group B
317,757,27,448,592,490,9,476,344,724,56,252,243,92,686,261,470,603,162,325,559,641,127,157,817,26,479,37,905,191,0,Group A
739,926,465,666,105,10,17,180,300,713,890,300,587,136,115,355,154,145,718,566,245,498,944,628,898,766,635,956,156,4872,0,Group A
797,377,386,841,950,957,128,389,130,802,851,286,499,582,626,150,564,321,698,197,889,276,282,919,539,712,190,639,392,4569,1,Group A
103,475,914,211,743,627,157,41,581,202,134,589,770,441,384,632,776,872,22,891,206,420,632,78,348,258,385,731,440,4154,0,Group B
852,607,963,793,851,488,189,9,360,304,132,770,922,887,867,935,359,493,736,613,112,695,887,261,464,325,121,123,319,55,0,Group B
359,37,64,118,804,335,935,446,188,187,239,508,252,877,700,735,681,748,573,754,159,350,482,579,246,601,729,953,152,5157,0,Group B
313,418,785,2,423,395,870,140,302,80,725,634,438,97,254,930,304,775,732,393,130,430,522,557,850,604,425,494,290,8539,0,Group B
664,144,547,558,185,550,944,708,319,505,245,720,454,560,544,437,157,669,588,879,825,795,668,226,474,39,394,929,150,4284,0,Group B
324,294,375,874,64,671,834,255,733,213,740,287,191,907,156,640,170,622,943,526,534,435,50,911,841,227,599,539,142,68,1,Group A
703,462,378,920,914,540,713,86,352,565,722,56,720,448,457,599,498,450,766,603,830,445,559,56,481,702,42,663,166,7712,0,Group B
612,402,95,376,373,315,365,396,650,483,141,77,322,260,945,0,918,28,28,421,77,623,942,303,909,809,367,831,202,4400,0,Group A
379,729,233,916,50,701,89,575,20,57,369,538,119,181,158,872,663,89,157,61,299,248,884,777,226,853,7,320,363,7032,0,Group A
929,816,485,50,230,861,259,158,224,662,934,620,404,793,868,164,485,767,484,437,288,8,52,820,198,397,897,622,171,5546,0,Group B
704,817,752,664,629,47,451,377,364,32,4,265,180,375,191,731,305,344,127,339,782,144,810,891,33,149,696,43,213,3276,0,Group A
814,413,474,938,469,772,149,772,191,350,162,708,12,400,86,885,731,224,923,456,929,168,968,384,644,334,164,767,497,7858,0,Group A
674,191,218,390,245,507,398,456,404,380,644,841,307,256,428,560,456,488,636,421,599,151,546,48,844,744,229,342,405,3945,0,Group B
570,105,806,78,596,309,235,846,367,170,151,759,481,657,328,303,944,133,204,328,301,321,701,116,662,14,261,774,951,8187,0,Group A
225,853,612,87,140,431,915,207,818,957,584,360,452,293,923,448,248,764,622,99,923,536,587,708,924,807,661,264,332,7273,0,Group B
335,844,154,741,582,9,209,336,297,252,611,609,50,844,827,98,634,166,603,54,786,535,111,216,704,114,239,91,894,4340,0,Group B
220,599,880,615,1,878,246,699,907,282,927,209,157,236,1,737,582,417,561,336,226,724,72,869,160,613,866,785,871,7597,0,Group B
352,865,640,785,184,938,98,113,189,281,945,273,591,906,19,920,614,652,640,352,840,409,914,28,380,681,412,865,874,6816,0,Group A
580,434,594,496,328,817,325,774,122,7,794,796,294,199,607,87,373,355,307,952,824,913,904,676,188,882,477,484,804,432,1,Group A
461,871,751,861,948,198,233,245,889,910,510,110,500,782,819,147,363,21,644,822,317,727,542,829,681,924,167,949,173,4416,0,Group A
492,902,619,813,234,175,820,131,547,252,489,906,812,497,472,627,83,616,471,661,759,530,703,164,3,131,257,667,723,6560,0,Group A
428,633,692,278,521,194,461,715,592,909,366,423,241,905,297,877,757,543,753,685,32,651,889,764,284,575,277,88,280,4497,0,Group B
68,331,334,486,214,404,267,892,372,441,198,345,199,534,971,854,90,221,488,278,448,568,520,26,889,685,484,54,278,6878,0,Group B
371,705,1,843,103,4,748,603,393,573,179,96,808,662,774,505,318,933,583,521,89,210,964,523,832,372,714,862,549,4246,0,Group A
497,575,681,799,865,430,244,957,617,327,750,888,685,652,496,374,13,335,656,460,143,161,98,492,595,205,186,578,272,1250,1,Group A
296,313,323,939,258,734,852,332,406,672,772,588,706,461,726,700,312,282,478,745,212,232,385,360,394,371,855,698,541,7516,1,Group B
810,369,326,74,517,213,716,195,198,436,653,203,233,654,567,61,242,677,37,81,738,495,512,888,327,595,94,438,731,8450,1,Group A
715,498,939,436,346,48,752,48,447,744,861,367,86,289,344,266,695,837,966,838,418,748,866,591,150,507,396,546,177,9503,0,Group B
304,447,540,770,63,14,622,182,28,117,591,950,70,503,16,443,343,595,402,77,920,734,191,683,717,487,273,178,135,7495,1,Group A
126,626,205,429,3,553,172,91,535,614,183,278,821,604,111,307,554,636,533,586,522,925,69,208,912,598,658,916,663,3445,0,Group A
515,490,541,144,395,473,869,179,32,902,331,138,340,361,960,904,358,256,682,959,193,298,420,745,558,276,598,820,153,6439,0,Group A
813,692,48,125,815,677,446,17,483,820,640,320,565,440,532,428,52,568,937,892,404,463,382,528,12,874,708,250,790,1714,0,Group B
767,481,926,855,900,686,558,305,41,317,564,691,907,377,801,718,750,92,794,291,831,105,15,32,160,180,877,428,764,5810,0,Group A
508,614,896,146,53,579,74,807,933,293,74,125,908,422,877,704,176,806,424,944,15,525,140,71,111,64,885,680,158,375,1,Group B
164,20,844,42,602,171,613,266,246,405,184,338,931,699,114,155,213,155,30,415,545,633,83,903,531,698,80,905,383,9400,0,Group A
477,59,434,669,748,865,832,777,770,53,411,246,498,9,363,862,592,200,865,775,476,858,221,769,491,561,553,854,41,6114,0,Group A
930,673,590,620,151,876,358,591,289,209,286,12,925,311,316,110,14,853,599,710,878,12,725,33,698,88,893,270,504,8948,1,Group B
384,243,286,633,844,951,129,832,170,549,799,551,570,12,975,655,53,890,571,288,169,360,78,572,781,641,288,681,56,499,0,Group A
436,184,426,949,752,26,783,387,345,182,499,353,604,876,513,57,885,328,10,442,4,555,909,369,456,249,653,806,679,6094,0,Group B
531,298,280,111,20,729,2,859,159,924,699,163,132,768,110,338,935,445,354,653,687,358,175,115,908,955,183,516,612,3840,0,Group B
624,536,771,36,943,691,939,960,539,119,300,302,852,628,29,11,679,68,770,151,205,932,182,464,819,580,300,878,26,2776,0,Group A
189,851,877,415,109,560,560,215,314,129,287,753,935,120,148,108,674,443,620,919,119,172,217,189,40,691,731,762,250,3166,0,Group A
919,140,753,806,154,902,11,370,106,315,398,923,919,218,610,34,433,870,926,416,643,114,388,558,620,873,218,889,887,5987,0,Group B
76,476,601,680,892,726,445,151,208,126,780,693,901,730,790,536,151,946,874,591,737,919,256,728,443,928,672,274,728,3464,0,Group B
311,830,943,471,862,557,385,352,909,779,863,116,862,328,174,156,127,347,412,338,396,186,781,252,927,365,917,394,130,8489,0,Group B
787,587,676,575,943,561,628,806,385,1,9,642,328,702,952,775,649,238,94,834,497,338,823,330,248,960,101,928,744,11,0,Group A
948,451,837,743,372,594,256,15,705,58,806,776,781,866,17,39,505,554,621,451,359,302,833,380,810,72,536,251,941,5683,0,Group B
185,665,83,123,883,409,871,243,607,719,98,331,670,554,367,694,557,95,253,213,955,262,599,533,556,934,149,651,568,3872,0,Group A
734,933,169,515,903,347,498,922,356,385,428,579,28,285,434,681,360,180,158,927,113,174,190,719,79,492,961,569,4,3858,0,Group A
108,448,281,735,728,576,109,572,747,46,447,748,352,79,909,290,159,217,897,598,383,328,785,667,596,538,371,632,230,6585,0,Group A
928,875,589,430,779,103,539,646,828,593,277,937,143,449,802,20,520,176,299,282,553,532,415,191,256,369,721,872,79,5664,0,Group B
291,310,309,130,489,927,609,49,371,567,578,833,449,484,117,898,792,189,509,545,855,279,518,271,242,842,931,144,840,6704,0,Group A
915,95,191,317,567,609,922,661,675,609,323,892,196,705,644,350,709,628,335,956,751,189,653,76,115,542,609,97,527,7799,0,Group A
607,25,821,924,536,798,768,77,339,679,709,927,740,626,603,188,701,513,818,536,537,701,290,219,837,29,882,390,581,5370,0,Group B
154,234,461,936,529,334,402,890,357,527,129,455,332,729,235,564,772,279,543,251,329,573,179,184,373,805,833,420,761,3170,0,Group B
372,906,467,26,286,468,43,562,236,474,238,318,75,872,264,886,605,873,678,208,186,668,410,241,568,896,387,205,862,2994,0,Group B
751,723,427,151,555,906,684,236,889,703,495,479,325,858,452,308,272,878,841,527,935,885,937,738,22,509,237,177,506,9169,0,Group A
898,897,407,544,897,666,78,141,593,738,537,160,786,622,118,123,282,303,310,583,177,480,880,908,196,887,17,647,574,7063,0,Group A
113,878,665,325,409,391,910,452,659,716,452,245,560,610,465,209,79,61,634,518,70,505,387,230,466,905,224,190,331,1686,0,Group B
396,622,607,758,367,115,158,901,350,146,217,601,473,459,385,777,742,99,933,875,866,235,645,645,421,505,532,584,274,7991,0,Group B
683,499,604,568,525,618,247,714,476,941,272,123,642,66,404,871,239,187,805,270,332,221,490,481,206,690,902,283,920,4495,1,Group B
627,45,508,794,299,375,937,794,690,928,274,438,370,613,284,486,689,233,389,348,729,123,375,52,253,796,311,371,785,9873,0,Group B
270,724,878,713,620,43,723,601,775,433,601,363,287,800,295,346,539,738,522,63,147,803,386,268,94,763,558,476,600,8919,1,Group A
600,134,801,511,403,588,200,260,806,393,700,366,283,871,376,710,857,312,306,201,91,216,782,945,395,91,762,355,525,9639,0,Group B
199,927,480,961,348,196,697,295,471,208,533,560,926,679,970,676,467,606,853,131,879,886,778,443,522,963,175,920,821,6685,0,Group B
35,192,917,463,108,919,103,940,872,300,738,16,573,521,32,626,460,385,646,5,822,443,786,654,745,271,928,22,277,6812,0,Group A
297,698,708,319,695,332,201,512,116,357,845,765,784,409,782,767,102,551,954,856,462,625,396,377,404,775,215,604,587,7241,0,Group A
424,934,293,790,415,110,427,854,200,341,658,715,792,17,771,708,632,281,108,726,603,749,380,138,495,676,579,243,275,361,0,Group A
632,520,906,792,464,534,469,411,348,927,328,582,814,807,964,305,208,719,579,561,566,682,326,17,541,121,852,726,248,3472,1,Group B
795,824,229,917,587,586,188,432,454,829,887,204,502,770,950,204,205,44,112,374,802,63,874,900,829,240,369,563,553,3268,0,Group A
964,595,171,9,703,74,847,334,405,190,395,509,417,222,59,849,174,31,918,556,754,6,962,810,635,642,858,279,28,1467,0,Group A
390,860,724,228,74,421,637,388,709,826,206,857,946,843,106,888,321,330,607,154,730,81,418,775,816,396,271,513,833,3085,0,Group A
937,727,59,612,110,590,110,323,307,521,572,772,399,47,391,707,462,930,186,430,763,352,97,739,661,482,293,188,165,6779,0,Group B
577,227,8,657,379,90,407,921,637,817,757,842,22,797,713,215,906,454,944,65,456,69,933,215,867,444,155,898,346,295,0,Group B
347,730,690,852,371,931,36,423,84,787,681,119,777,501,171,383,558,198,556,343,900,605,131,501,933,802,295,851,877,4935,0,Group B
840,148,659,396,945,946,238,283,494,308,711,397,688,112,197,311,334,822,763,50,282,772,698,841,379,395,807,617,438,5259,1,Group A
899,461,333,40,817,166,819,593,341,64,484,396,536,515,502,242,910,7,702,306,918,782,264,453,129,153,345,427,596,6687,0,Group A
631,97,598,753,657,607,222,308,615,937,427,735,393,253,616,728,579,562,77,57,589,30,90,460,920,115,922,559,531,9873,0,Group A
654,808,242,362,526,531,260,811,392,718,297,145,645,437,269,696,658,708,180,761,238,745,678,906,886,534,406,597,35,2097,1,Group B
904,279,178,336,244,471,300,520,202,582,636,945,825,571,417,112,799,926,537,854,635,642,350,376,462,15,16,356,21,8438,0,Group A
609,158,111,807,564,345,197,167,802,558,865,678,751,243,280,550,132,820,304,872,668,549,28,92,80,381,488,588,699,2532,0,Group B
423,604,37,433,341,401,448,421,431,939,431,587,97,232,503,829,17,760,278,168,367,793,607,601,891,576,657,960,566,3420,0,Group B
54,341,969,477,802,700,845,27,329,327,248,147,0,48,97,937,183,584,605,791,127,459,744,359,149,330,805,732,417,2632,0,Group B
306,147,818,532,41,152,657,249,777,751,739,658,820,305,190,199,221,717,291,0,748,434,321,194,13,472,943,73,925,1879,0,Group A
503,788,734,221,958,556,356,600,695,131,311,197,529,651,636,136,590,902,109,667,328,419,940,839,289,95,501,754,162,4875,0,Group A
495,453,44,913,85,350,146,379,664,806,555,668,344,904,240,254,172,80,19,87,775,393,633,218,664,182,835,232,315,6751,0,Group A
350,302,579,583,226,7,608,918,957,143,667,240,48,22,252,679,540,766,87,187,691,789,7,758,820,477,868,614,589,8104,0,Group B
469,94,371,624,832,838,726,302,199,471,103,719,657,139,935,480,418,0,914,605,959,871,852,759,151,106,125,788,828,3892,1,Group A
329,840,106,276,396,809,449,335,906,610,76,3,897,512,820,610,72,734,410,438,48,702,919,920,896,749,414,154,712,4230,0,Group A
808,23,251,814,747,360,284,241,238,108,133,585,716,870,927,806,535,598,39,171,510,604,669,592,928,229,716,493,733,8938,0,Group A
319,858,93,328,232,23,597,707,871,726,301,405,903,706,91,815,881,824,26,139,405,894,679,213,224,250,763,577,364,988,0,Group A
471,845,367,943,164,605,485,721,700,795,392,786,753,49,407,200,386,831,806,235,712,899,23,926,616,305,903,207,665,4653,0,Group A
143,504,600,484,152,644,56,739,488,612,605,37,776,421,116,481,80,719,546,585,518,120,452,418,449,586,665,612,64,2949,0,Group B
582,478,683,244,222,341,717,171,113,524,350,14,605,572,301,743,680,578,669,217,16,377,432,31,309,480,473,740,729,4223,0,Group A
667,386,363,2,568,816,837,705,530,102,656,91,46,268,340,458,900,114,802,809,275,348,649,571,324,447,198,343,45,1841,1,Group A
439,123,7,408,5,78,712,78,282,509,921,903,921,149,22,358,854,204,721,253,489,194,842,457,667,645,468,465,325,6236,0,Group A
27,113,832,780,149,715,803,509,934,325,172,98,956,427,221,442,412,354,524,424,618,898,408,710,799,653,863,63,408,6519,0,Group B
541,49,617,628,605,207,900,361,674,338,167,491,297,912,744,187,178,239,630,481,120,283,731,2,307,90,280,904,599,8419,0,Group B
149,576,868,618,689,130,204,796,748,448,17,40,509,244,482,184,128,594,860,868,407,390,202,604,375,925,466,877,186,2823,0,Group A
485,956,908,672,753,63,162,802,118,362,862,967,738,742,14,643,721,942,497,269,84,117,963,171,706,424,816,813,523,9483,0,Group B
443,356,919,639,621,104,603,552,168,355,120,763,207,584,229,746,323,563,369,248,516,447,4,699,919,814,157,596,726,2143,0,Group B
349,500,342,372,709,863,648,633,557,68,702,174,337,790,525,461,340,387,366,826,277,928,822,293,444,156,202,772,179,1881,0,Group B
133,528,764,677,891,455,621,492,364,842,784,106,736,288,54,226,730,521,90,246,424,108,873,655,588,266,581,120,262,4942,0,Group A
542,213,526,250,67,574,605,638,943,214,828,254,383,669,707,945,177,649,272,503,449,838,134,684,190,231,51,440,310,9734,0,Group A
943,393,761,537,566,537,825,32,227,89,281,900,958,789,138,138,48,943,61,280,90,438,365,922,601,591,206,40,449,6978,1,Group A
949,855,89,524,239,145,696,704,546,335,716,716,230,895,559,675,184,371,108,651,216,25,192,16,487,569,320,585,526,1916,0,Group A
112,493,195,560,737,388,169,128,515,513,292,81,484,413,520,803,737,785,750,211,182,704,694,220,212,210,211,838,709,8094,0,Group A
144,558,161,936,190,760,286,677,710,853,502,580,268,583,811,466,571,280,792,941,947,676,197,439,362,50,628,796,575,8374,1,Group B
9,568,151,347,381,568,586,177,50,206,468,771,131,113,661,621,89,399,654,963,222,743,735,22,879,818,503,507,856,7620,0,Group B
907,814,234,274,889,209,249,29,80,388,825,339,687,408,946,545,195,50,587,541,356,335,580,267,2,241,572,691,819,91,1,Group A
875,330,278,143,282,293,927,183,905,543,677,747,929,580,67,233,483,194,809,436,511,808,846,785,250,375,878,206,572,6734,1,Group B
429,510,176,942,182,812,476,38,897,62,745,660,646,185,483,419,197,1,791,257,298,52,165,403,415,242,195,159,468,2670,0,Group A
212,460,862,842,116,679,798,167,829,541,614,725,613,138,933,75,746,258,572,777,141,139,471,918,267,854,588,758,635,502,0,Group A
132,217,709,222,664,222,318,273,827,396,624,513,16,668,645,828,135,227,465,398,285,143,848,461,503,622,797,431,44,9971,1,Group B
386,91,88,417,797,725,623,645,785,769,762,69,572,535,481,602,138,10,704,425,648,315,132,711,176,140,850,241,851,6211,0,Group B
221,303,839,93,788,832,19,347,458,504,595,734,849,400,881,340,151,496,555,610,588,565,110,733,471,514,574,303,689,3349,0,Group A
960,53,599,70,156,281,779,3,323,307,340,682,364,14,580,511,817,777,359,340,52,790,871,375,282,600,142,38,131,6469,1,Group A
139,535,110,591,688,86,530,797,803,692,924,355,674,30,870,874,258,357,477,391,600,239,676,670,840,824,524,451,399,976,0,Group A
678,5,35,279,387,228,724,163,0,946,359,751,709,591,266,666,661,674,300,768,560,131,734,757,63,811,843,107,512,9395,1,Group B
425,237,609,928,812,358,889,96,144,534,577,800,691,101,839,706,40,397,862,71,848,829,901,835,865,45,947,315,189,2638,1,Group B
457,326,434,779,442,19,589,219,353,274,515,301,346,933,302,553,550,214,661,149,204,815,868,373,175,690,681,800,766,2864,0,Group A
692,18,269,249,378,148,674,579,528,461,193,82,200,540,382,412,627,971,210,7,681,700,257,605,833,275,726,880,570,8709,0,Group A
829,82,337,507,928,442,895,738,583,16,888,251,681,735,523,549,784,888,215,13,327,542,746,691,356,646,382,804,710,162,0,Group B
275,239,102,614,494,121,261,816,665,15,597,304,710,126,738,853,902,745,262,689,108,576,239,347,535,384,899,749,271,2188,0,Group B
794,266,846,667,132,597,71,399,177,580,958,454,557,151,818,252,390,139,38,691,333,343,793,483,636,624,436,640,187,760,0,Group A
93,482,13,478,868,456,411,443,29,112,226,141,255,40,630,644,771,751,201,206,950,814,381,641,878,716,781,23,403,5035,0,Group B
454,261,853,12,712,753,683,717,418,920,589,313,318,615,797,801,675,951,321,514,683,93,48,236,69,184,303,27,104,1192,0,Group A
816,945,24,600,573,523,529,248,268,110,258,807,59,525,781,659,425,228,390,877,51,599,334,803,504,661,841,285,805,6381,0,Group A
273,253,78,323,771,466,146,357,241,438,707,201,741,781,436,609,92,763,207,108,87,758,685,24,657,306,314,510,436,9151,0,Group A
184,597,770,149,852,939,84,785,720,283,806,565,876,109,872,337,222,892,172,210,842,77,640,266,325,436,703,0,233,7466,0,Group A
685,792,558,925,877,5,250,727,593,406,715,357,423,464,108,863,923,412,475,951,108,273,305,668,827,324,590,762,652,4034,0,Group A
784,610,882,188,414,953,255,877,299,911,920,750,69,835,450,907,76,43,952,508,233,369,794,932,702,885,424,353,160,5396,1,Group A
219,340,159,726,608,244,653,912,286,158,580,94,386,50,882,836,486,297,123,802,627,901,232,547,887,150,498,821,10,1474,0,Group B
267,948,124,33,704,926,212,966,430,847,20,760,868,174,85,232,120,325,297,72,46,127,463,744,118,272,858,629,251,4017,0,Group A
66,301,721,562,255,212,711,808,893,875,756,811,83,332,378,657,245,793,480,948,525,689,327,401,586,89,619,634,39,5403,0,Group B
496,907,516,326,61,810,33,265,597,495,147,656,596,728,444,543,638,475,947,73,78,169,369,862,763,219,241,117,659,7848,0,Group B
47,269,125,34,636,158,891,788,919,711,938,447,304,716,730,12,4,693,703,174,446,705,412,356,458,359,782,922,48,3077,0,Group B
41,949,476,670,191,221,163,630,858,132,186,467,451,834,232,260,651,13,740,740,764,260,588,851,192,311,673,421,577,5075,0,Group A
338,397,174,661,739,138,846,710,94,428,216,675,115,18,304,64,235,244,289,566,532,351,629,617,123,828,49,77,126,2096,0,Group B
440,564,189,682,808,690,594,534,905,408,720,484,465,477,657,716,383,459,86,93,61,312,835,672,725,405,441,957,909,461,0,Group A
748,903,660,256,237,408,795,830,566,492,121,624,356,454,754,837,922,192,148,89,644,720,229,174,126,190,427,798,832,9248,1,Group A
679,936,393,567,799,70,591,79,417,197,788,714,227,776,836,532,139,590,5,100,234,413,922,217,331,383,304,195,355,6184,0,Group A
696,681,944,270,831,646,831,825,181,940,910,441,84,536,311,648,786,879,801,966,387,87,516,856,705,279,476,615,619,117,0,Group A
179,722,674,305,257,352,601,257,248,199,109,413,299,379,392,507,585,403,396,947,740,282,501,434,258,867,525,260,936,2030,0,Group A
668,459,290,690,754,492,923,350,25,867,661,966,330,795,579,914,850,539,505,772,133,374,277,397,263,819,829,479,754,557,0,Group A
474,812,592,733,714,111,125,841,586,81,188,333,39,585,599,368,630,398,901,480,279,437,537,298,918,252,85,326,837,8789,0,Group B
48,532,597,128,577,800,905,639,465,453,123,629,802,283,891,699,780,690,282,342,812,935,423,880,214,463,235,113,536,1032,0,Group B
768,594,777,512,495,806,388,736,420,40,270,350,365,627,932,377,578,591,356,227,348,364,604,537,87,70,351,935,354,9853,1,Group B
